Field,Search Parameter,Type,Available Tags / Parameters,More Info
General,as_name,string,,
General,asn,int,,
General,country,string,,
General,created_at,date,,
General,ip,string,,
General,ipv6,boolean,,
General,geoip.city_name,string,,
General,geoip.country_name,string,,
General,has_screenshot,boolean,,
General,port,int,,
General,protocol,string,,
General,rdns,string,,https://www.cloudflare.com/learning/dns/glossary/reverse-dns/
General,rdns_parent,string,,https://www.cloudflare.com/learning/dns/glossary/reverse-dns/
General,type,string,"service-simplessl
ssh
vnc
rdp
x11
mongodb
memcached
elasticsearch
redis",
General,tag,string,"BUSYBOX
CAMERA
DATABASE
DEVICES
GAMES
ICS
IOT
SHELL
WEBCAM
WEBSERVER",
Service-Simple,banner,string,,
Service-Simple,cpe,string,,https://csrc.nist.gov/projects/security-content-automation-protocol/specifications/cpe/
Service-Simple,device,string,,
Service-Simple,extrainfo,string,,
Service-Simple,name,string,,
Service-Simple,ostype,string,,
Service-Simple,product,string,,
Service-Simple,version,string,,
RDP,security,string,,https://docs.microsoft.com/en-us/openspecs/windows_protocols/ms-rdpbcgr/592a0337-dc91-4de3-a901-e1829665291d
Bluekeep,vulnerable,boolean,,CVE-2019-0708
VNC,auth_enabled,boolean,,
VNC,height,int,,
VNC,title,string,,
VNC,version,string,,
VNC,width,int,,
X11,height,int,,
X11,vendor,string,,
X11,vendor_release,string,,
X11,version,string,,https://www.x.org/releases/X11R7.5/doc/x11proto/proto.pdf
X11,width,int,,
SSH,compression,string,,https://www.openssh.com/specs.html
SSH,encryption,string,,https://www.openssh.com/specs.html
SSH,kex,string,,
SSH,mac,string,,
SSH,server_host_key,string,,
SSH,banner,string,,
SSH,cyphers,string,,https://www.openssh.com/specs.html
SSH,fingerprint,string,,
SSH,hassh,string,,
SSH,hassh_algorithms,string,,
SSL,cert.issuer.commonName,string,,
SSL,cert.issuer.organizationName,string,,
SSL,cert.issuer_names,string,,
SSL,cert.not_after,date,,
SSL,cert.not_before,date,,
SSL,cert.serial,string,,
SSL,cert.signature_algorithm,string,,
SSL,cert.signature_value,string,,
SSL,cert.sha1_fingerprint,string,,
SSL,cert.sha256_fingerprint,string,,
SSL,cert.spki_subject_fingerprint,string,,
SSL,cert.subject.commonName,string,,
SSL,cert.subject.organizationName,string,,
SSL,cert.subject_names,string,,
SSL,cert.subject_dns,string,,
SSL,cert.extensions.key_usage.*,boolean,"crl_sign
data_encipherment
decipher_only
digital_signature
encipher_only
key_agreement
key_cert_sign
key_encipherment
Non_repudiation
",https://tools.ietf.org/html/rfc5280
SSL,cert.extensions.extended_key_usage.*,boolean,"any_extended_key_usage
client_auth
code_signing
eap_over_lan
eap_over_ppp
email_protection
ipsec_end_system
ipsec_ike
ipsec_tunnel
ipsec_user
microsoft_server_gated
microsoft_smart_card_logon
ocsp_signing
pkinit_kpkdc
server_auth
time_stamping",https://tools.ietf.org/html/rfc5280
SSL,ciphers,string,,
SSL,client_auth_requirement_string,string,,
SSL,highest_ssl_version_supported,string,,
SSL,ja3,string,,https://github.com/salesforce/ja3
SSL,ja3_digest,string,,https://github.com/salesforce/ja3
SSL,ssl_cipher_supported,string,,
SSL,tls_wrapped_protocol_string,string,,
SSL,truststores,string,,
SSL,compression_name,string,,
SSL,supports_compression,boolean,,https://docs.citrix.com/en-us/citrix-sd-wan-wanop/11/secure-traffic-acceleration/ssl-compression/how-ssl-compression-works.html
SSL,supports_fallback_scsv,boolean,,https://tools.ietf.org/html/rfc7507
SSL,is_vulnerable_to_heartbleed,boolean,,https://www.us-cert.gov/ncas/alerts/TA14-098A
SSL,is_vulnerable_to_ccs_injection,boolean,,https://www.openssl.org/news/secadv/20140605.txt
SSL,accepts_client_renegotiation,boolean,,
SSL,supports_secure_renegotiation,boolean,,
SSL,robot_result_enum,string,,
HTTP,body,string,,
HTTP,href,string,,
HTTP,httpVersion,string,,
HTTP,redirects,string,,
HTTP,responseHeaders,string,,
HTTP,server,string,,
HTTP,sha256,string,,
HTTP,statusCode,string,,https://developer.mozilla.org/en-US/docs/Web/HTTP/Status
HTTP,statusMessage,string,,
HTTP,title,string,,
MQTT,auth,boolean,,
MQTT,num_topics,int,,
MQTT,messages,string,,
MQTT,protocol,string,,https://github.com/mqtt/mqtt.github.io/wiki
MQTT,version,string,,
MQTT,topics,string,,
Kubernetes,auth_required,boolean,,
Kubernetes,pods_names,string,,https://kubernetes.io/docs/concepts/overview/working-with-objects/names/
RSYNC,banner,string,,
RSYNC,modules.module,string,,https://rsync.samba.org/how-rsync-works.html
RSYNC,modules.status,string,,
RSYNC,status,string,,
RSYNC,version,string,,
TOR,exit_node,date,,https://gitweb.torproject.org/torspec.git/tree/tor-spec.txt
