"http.favicon.hash","Product/Application","Example http.title","Example header(s) / ssl string","More Info"
81586312,"Jenkins","Dashboard [Jenkins]","X-Jenkins: 
X-Hudson:
X-Jenkins-Session:
X-Hudson-Theme:",
-235701012,"Cnservers LLC",,,
743365239,"Atlassian",,,
2128230701,"Chainpoint","Chainpoint Node Dashboard",,
-1277814690,"LaCie","LaCie&nbsp",,
246145559,"Parse","Parse Dashboard",,
628535358,"Atlassian",,,
855273746,"JIRA","System Dashboard",,
1318124267,"Avigilon","Avigilon Control Center Gateway",,
-305179312,"Atlassian – Confluence",,,
786533217,"OpenStack","Login - OpenStack Dashboard",,
432733105,"Pi Star","Digital Voice Dashboard",,
705143395,"Atlassian",,,
-1255347784,"Angular IO (AnglularJS)",,,
-1275226814,"XAMPP",,,
-2009722838,"React",,,
981867722,"Atlassian – JIRA",,,
-923088984,"OpenStack","OpenStack Dashboard",,
494866796,"Aplikasi","Dashboard-Aplikasi",,
2110041688,"ระบบจองห้องประชุม",,,
-493051473,"hxxp://www[.k2ie.net","Reflector Dashboard",,
1249285083,"Ubiquiti Aircube","airCube",,
-1379982221,"Atlassian – Bamboo",,,
420473080,"Exostar – Managed Access Gateway","MAG Dashboard Login",,
-1642532491,"Atlassian – Confluence",,,
163842882,"Cisco Meraki","Meraki Dashboard Login",,
-1378182799,"Archivematica","Archivematica Dashboard",,
-702384832,"TCN","TCN User Dashboard",,
-532394952,"CX","CX Dashboard",,
-183163807,"Ace","Dashboard - Ace Admin",,
552727997,"Atlassian – JIRA",,,
1302486561,"NetData","netdata dashboard",,
-609520537,"OpenGeo Suite","OpenGeo Suite Dashboard",,
-1961046099,"Dgraph Ratel","Dgraph Ratel Dashboard",,
-1581907337,"Atlassian – JIRA",,,
1913538826,"Material Dashboard","Material Dashboard React",,
1319699698,"Form.io",,,
-1203021870,"Kubeflow","Kubeflow Central Dashboard",,
-182423204,"netdata dashboard",,,
988422585,"CapRover",,,
2113497004,"WiJungle","WiJungle Admin Dashboard",,
1234311970,"Onera","Onera Dynamic Availability Dashboard ",,
430582574,"SmartPing","SmartPing Dashboard",,
1232596212,"OpenStack","OpenStack Dashboard",,
1585145626,"netdata dashboard",,,
-219752612,"FRITZ!Box"," FRITZ!Box",,
-697231354,"Ubiquiti – AirOS",,,
945408572,"Fortinet – Forticlient",,,
1768726119,"Outlook Web Application","Outlook Web App",,
2109473187,"Huawei – Claro",,"CN = mediarouter.home",
552592949,"ASUS AiCloud","AiCloud",,
631108382,"SonicWALL","SonicWall – Authentication","Server: SonicWALL",
708578229,"Google",,,
-134375033,"Plesk",,,
2019488876,"Dahua Storm (IP Camera)","WEB SERVICE",,
-1395400951,"Huawei – ADSL/Router",,,
1601194732,"Sophos Cyberoam (appliance)",,,
-325082670,"LANCOM Systems",,,
-1050786453,"Plesk",,,
-1346447358,"TilginAB (HomeGateway)","myhome",,
1410610129,"Supermicro Intelligent Management (IPMI)",,,
-440644339,"Zyxel ZyWALL",,,
363324987,"Dell SonicWALL","DELL SonicWALL – Authentication",,
-1446794564,"Ubiquiti Login Portals","Ubiquiti Networks",,
1045696447,"Sophos User Portal/VPN Portal","User Portal",,
-297069493,"Apache Tomcat",,,
396533629,"OpenVPN",,,
1462981117,"Cyberoam",,,
1772087922,"ASP.net favicon",,,
1594377337,"Technicolor",,,
165976831,"Vodafone (Technicolor)",,,
-1677255344,"UBNT Router UI","EdgeOS",,
-359621743,"Intelbras Wireless",,,
-677167908,"Kerio Connect (Webmail)",,,
878647854,"BIG-IP",,,
442749392,"Microsoft OWA","Outlook Web App","X-OWA-Version: 14.3.",
1405460984,"pfSense","Login",,
-271448102,"iKuai Networks",,,
31972968,"Dlink Webcam",,,
970132176,"3CX Phone System","3CX Phone System Management Console",,
-1119613926,"Bluehost","Bluehost.com",,
123821839,"Sangfor","SANGFOR",,
459900502,"ZTE Corporation (Gateway/Appliance)",,,
-2069844696,"Ruckus Wireless","Ruckus Wireless Admin",,
-1607644090,"Bitnami","Bitnami Redmine Stack",,
2141724739,"Juniper Device Manager","Log In – Juniper Web Device Manager",,
1835479497,"Technicolor Gateway","Technicolor Gateway – Login",,
1278323681,"Gitlab","Sign in · GitLab",,
-1929912510,"NETASQ - Secure / Stormshield","AUTHENTICATION",,
-1255992602,"VMware Horizon","VMware Horizon",,
1895360511,"VMware Horizon","VMware Horizon",,
